facname,number,street,address,city,borough,latitude,longitude
CASTLE PARKING CORP.,2846,WEBSTER AVENUE,2846 WEBSTER AVENUE,BRONX,BRONX,40.86632915,-73.88455452
QE14G GARAGE,51-10,ALMEDA AVENUE,51-10 ALMEDA AVENUE,FAR ROCKAWAY,QUEENS,40.60075264,-73.78119175
STAPLES ELECTRONICS DROP-OFF SITE,,,24-41 31 ST,ASTORIA,QUEENS,40.771313,-73.916064
"ST JOHN'S RIDGEWOOD UNITED, INC.",610,SENECA AVENUE,610 SENECA AVENUE,RIDGEWOOD,QUEENS,40.70355855,-73.90971073
LA FAMILIA VERDE FARMER'S MARKET FOOD DROP-OFF SITE,,,,BRONX,BRONX,40.846468,-73.894107
SOLOMON R. GUGGENHEIM FOUNDATION,1071,FIFTH AVENUE,1071 FIFTH AVENUE,NEW YORK,MANHATTAN,40.78299526,-73.95889026
BRONX SUPREME COUNTY COURTHOUSE,851,GRAND CONCOURSE,851 GRAND CONCOURSE,BRONX,BRONX,40.82629,-73.923799
DYKER PARK PLAYHOUSE,,,86TH ST,BROOKLYN,BROOKLYN,40.62571606,-74.04069801
ENG 277  LAD 112 - PARKING,1424,GATES AVENUE,1424 GATES AVENUE,BROOKLYN,BROOKLYN,40.696836,-73.914538
UNION PLAZA CARE CENTER,33-23,UNION STREET,33-23 UNION STREET,FLUSHING,QUEENS,40.76726668,-73.82676616
"SUNDOG THEATRE, INC.",,,,STATEN ISLAND,STATEN ISLAND,,
PEOPLE'S URBAN FILMS LLC,102,DWIGHT STREET,102 DWIGHT STREET,BROOKLYN,BROOKLYN,40.67580775,-74.0099717
EASTSIDE 27 COMMERCIAL LLC,200,EAST 27 STREET,200 EAST 27 STREET,NEW YORK,MANHATTAN,40.74093482,-73.9809309
SPRING CREEK PARK,,SHERIDAN AVENUE,SHERIDAN AVENUE,HOWARD BEACH,QUEENS,40.65704,-73.861479
ZACHS AUTO BODY & TOWING INC,1651,UTICA AVENUE,1651 UTICA AVENUE,BROOKLYN,BROOKLYN,40.63196807,-73.92791414
"RELIT NY, INC.",,,,NEW YORK,MANHATTAN,,
"PAGE SEVENTY-THREE PRODUCTIONS, INC.",80,HANSON PLACE,80 HANSON PLACE,BROOKLYN,BROOKLYN,40.68525212,-73.97442864
CARROLL GARDENS LIBRARY,396,CLINTON STREET,396 CLINTON STREET,BROOKLYN,BROOKLYN,40.68321273,-73.99801786
136 EAST 55TH STREET GARAGE LLC,136,EAST 55 STREET,136 EAST 55 STREET,NEW YORK,MANHATTAN,40.7592812,-73.96993908
"LIVING THEATRE, INC.",21,CLINTON STREET,21 CLINTON STREET,NEW YORK,MANHATTAN,40.7207577,-73.98450244
ROAD MASTER AUTOMOTIVE SERVICES INC,34-14,64 STREET,34-14 64 STREET,WOODSIDE,QUEENS,40.75172262,-73.89920851
KINGS HIGHWAY LIBRARY,2115,OCEAN AVENUE,2115 OCEAN AVENUE,BROOKLYN,BROOKLYN,40.6102518,-73.95311102
CYPRESS HILLS FOOD DROP-OFF SITE,,,,BROOKLYN,BROOKLYN,40.683883,-73.871694
SEABURY PLAYGROUND,1712,SOUTHERN BOULEVARD,1712 SOUTHERN BOULEVARD,BRONX,BRONX,40.83648824,-73.8878706
NATIONAL INSTITUTE OF REALTIME REPOR,420,FIFTH AVENUE,420 FIFTH AVENUE,NEW YORK,MANHATTAN,40.7508401,-73.98329887
VANDERBILT AVENUE GARAGE LLC,171,CLERMONT AVENUE,171 CLERMONT AVENUE,BROOKLYN,BROOKLYN,40.69254506,-73.97022971
PLANEVIEW PARK,,,,EAST ELMHURST,QUEENS,40.76732683,-73.88439153
MAPLE GROVE PARK,,,,KEW GARDENS,QUEENS,40.71194941,-73.82416643
"FORDHAM INSTITUTE, INC.",98-27,JAMAICA AVENUE,98-27 JAMAICA AVENUE,WOODHAVEN,QUEENS,40.69535484,-73.84685215
HOWARD AV BLOCK ASSOCIATION,750,HOWARD AVENUE,750 HOWARD AVENUE,BROOKLYN,BROOKLYN,40.66358587,-73.91933851
WOMEN'S HEALTH CENTER EXT CLINIC,110,WYCKOFF AVENUE,110 WYCKOFF AVENUE,BROOKLYN,BROOKLYN,40.70375335,-73.91885407
BEST BUY ELECTRONICS DROP-OFF SITE,,,1880 BROADWAY,NEW YORK,MANHATTAN,40.76986,-73.981393
CITY ISLAND LIBRARY,320,CITY ISLAND AVENUE,320 CITY ISLAND AVENUE,BRONX,BRONX,40.84775083,-73.78640826
METROPOLITAN TRANSFER STATION,287,HALLECK STREET,287 HALLECK STREET,BRONX,BRONX,40.80655931,-73.87990643
GERTZ PLAZA ACS MULTI PROGRAM,162-10,JAMAICA AVENUE,162-10 JAMAICA AVENUE,JAMAICA,QUEENS,40.703768,-73.7971
NELSON'S AUTO SALVAGE; INC.,122-80,MONTAUK STREET,122-80 MONTAUK STREET,SPRINGFIELD GARDENS,QUEENS,40.68094138,-73.75893977
GERSHOW RECYCLING OF BROOKLYN INC.,1885,PITKIN AVENUE,1885 PITKIN AVENUE,BROOKLYN,BROOKLYN,40.67100373,-73.90317304
CATHERINE & COUNT BASIE MIDDLE SCHOOL 72,133-25,GUY R BREWER BOULEVARD,133-25 GUY R BREWER BOULEVARD,JAMAICA,QUEENS,40.67491625,-73.77560277
SP PLUS CORPORATION,200,CHAMBERS STREET,200 CHAMBERS STREET,NEW YORK,MANHATTAN,40.71658606,-74.0124174
"4HEADS, INC.",,,1022 PACIFIC ST,BROOKLYN,BROOKLYN,,
14TH AND 8TH AVE. LLC,85,8 AVENUE,85 8 AVENUE,NEW YORK,MANHATTAN,40.74035511,-74.00257262
PROJECT HOPE CHARITIES TEXTILE DROP-OFF SITE,,,"170-20 140TH AVENUE, JAMAICA, NY 11434, USA",JAMAICA,QUEENS,40.670811,-73.769353
ST JOHN BAPTIST CHURCH UNLIMITED,112-07,GUY R BREWER BOULEVARD,112-07 GUY R BREWER BOULEVARD,JAMAICA,QUEENS,40.69073931,-73.78671158
"350 WEST 43RD CAR PARK, LLC",350,WEST 43 STREET,350 WEST 43 STREET,NEW YORK,MANHATTAN,40.75854787,-73.99125962
"FOURTH CHURCH OF CHRIST, SCIENTIST",,,,NEW YORK,MANHATTAN,40.85365031,-73.9376832
1490 HYLAN BLVD TEXTILE DROP-OFF SITE,,,"1490 HYLAN BLVD, STATEN ISLAND, NY, USA",STATEN ISLAND,STATEN ISLAND,40.59218523,-74.08732547
CONGREGATION OHR MENACHEM,1717,PRESIDENT STREET,1717 PRESIDENT STREET,BROOKLYN,BROOKLYN,40.66719754,-73.93011705
FLUSHING DAY CARE,35-19,150 STREET,35-19 150 STREET,FLUSHING,QUEENS,40.76571296,-73.8148262
2958 ATLANTIC AVE TEXTILE DROP-OFF SITE,,,"2958 ATLANTIC AVENUE, BROOKLYN, NY, USA",BROOKLYN,BROOKLYN,40.677575,-73.884964
LINCOLN MEDICAL/EMS 14,234,EAST 149 STREET,234 EAST 149 STREET,BRONX,BRONX,40.816758,-73.924478
P.S. 234,30-15,29 STREET,30-15 29 STREET,ASTORIA,QUEENS,40.76694258,-73.92309932
"DECODA, INC.",,,,NEW YORK,MANHATTAN,,
KEHILAT SEPHARDIM TEXTILE DROP-OFF SITE,,,"150-62 78TH RD, FLUSHING, NY, USA",FLUSHING,QUEENS,40.721043,-73.811536
NYCHA-MARCUS GARVEY,10,AMBOY STREET,10 AMBOY STREET,BROOKLYN,BROOKLYN,40.66998615,-73.91518542
YAD YISROEL,2555,NOSTRAND AVENUE,2555 NOSTRAND AVENUE,BROOKLYN,BROOKLYN,40.62241064,-73.94571519
P.S. 229 DYKER,1400,BENSON AVENUE,1400 BENSON AVENUE,BROOKLYN,BROOKLYN,40.61035209,-74.01350039
P.S. 195 WILLIAM HABERLE,253-50,149 AVENUE,253-50 149 AVENUE,ROSEDALE,QUEENS,40.65267164,-73.7351669
CAREER & EDUCATIONAL CONSULTANT METR,252,WEST 29 STREET,252 WEST 29 STREET,NEW YORK,MANHATTAN,40.7486862,-73.99536092
LEFFERTS,103-34,LEFFERTS BOULEVARD,103-34 LEFFERTS BOULEVARD,SOUTH RICHMOND HILL,QUEENS,40.68690143,-73.8248392
SKYSCRAPER MUSEUM,39,BATTERY PLACE,39 BATTERY PLACE,NEW YORK,MANHATTAN,40.7056811,-74.01751823
SACRED HEART OF JESUS SCHOOL,456,WEST 52 STREET,456 WEST 52 STREET,NEW YORK,MANHATTAN,40.76548758,-73.99017093
THE LEXINGTON ACADEMY,131,EAST 104 STREET,131 EAST 104 STREET,NEW YORK,MANHATTAN,40.79128802,-73.94757336
THE HECTOR FIGUEROA SCHOOL,69-01,34 AVENUE,69-01 34 AVENUE,WOODSIDE,QUEENS,40.75277684,-73.8966993
"LOOK & LISTEN, INC.",,,34-29 80TH STREET,BROOKLYN,BROOKLYN,40.630331,-74.038455
"INTERCULTURAL ALLIANCE OF ARTISTS & SCHOLARS, INC.",140-21,31 ROAD,140-21 31 ROAD,FLUSHING,QUEENS,40.77115893,-73.82787254
IMAGENATION FILM FESTIVAL,211,WEST 145 STREET,211 WEST 145 STREET,NEW YORK,MANHATTAN,40.82218849,-73.93966817
MOBILE MEDICAL UNIT,460,BRIELLE AVENUE,460 BRIELLE AVENUE,STATEN ISLAND,STATEN ISLAND,40.59213213,-74.13425286
"FLYING FIG THEATER, INC.",161,SIXTH AVENUE,161 SIXTH AVENUE,NEW YORK,MANHATTAN,40.72589927,-74.00433229
"MOVING THEATER, INC.",,,,BROOKLYN,BROOKLYN,,
P.S. 048 JOSEPH R. DRAKE,1290,SPOFFORD AVENUE,1290 SPOFFORD AVENUE,BRONX,BRONX,40.81411559,-73.88686578
DIST OFFICE 13 (OLD PS 9 ANNEX,355,PARK PLACE,355 PARK PLACE,BROOKLYN,BROOKLYN,40.676312,-73.965848
SP PLUS CORPORATION,525,EAST 71 STREET,525 EAST 71 STREET,NEW YORK,MANHATTAN,40.76585553,-73.95247664
STEINWAY NO #1 FIELD,,38 STREET,38 STREET,ASTORIA,QUEENS,40.763732,-73.915918
SOUTH BRONX DIALYSIS CENTER,1940,WEBSTER AVENUE,1940 WEBSTER AVENUE,BRONX,BRONX,40.84867109,-73.89992614
"TRIANGLE TOWING AND RECOVERY, INC.",77-08,CYPRESS AVENUE,77-08 CYPRESS AVENUE,RIDGEWOOD,QUEENS,40.69498491,-73.89881355
I.S. 192 THE LINDEN,109-89,204 STREET,109-89 204 STREET,SAINT ALBANS,QUEENS,40.70571341,-73.75276367
TRANSIT POLICE DIST. #12 BMS,460,MORRIS PARK AVENUE,460 MORRIS PARK AVENUE,BRONX,BRONX,40.840953,-73.871772
IMPARK HSW LLC,1356,3 AVENUE,1356 3 AVENUE,NEW YORK,MANHATTAN,40.77330473,-73.9583307
GEORGE WASHINGTON HIGH SCHOOL,549,AUDUBON AVENUE,549 AUDUBON AVENUE,NEW YORK,MANHATTAN,40.85559869,-73.92619138
"FRIENDS OF THE NEW YORK CITY FIRE DEPARTMENT COLLECTION, INC.",278,SPRING STREET,278 SPRING STREET,NEW YORK,MANHATTAN,40.72556837,-74.00693536
350 FOREST AVE TEXTILE DROP-OFF SITE,,,"350 FOREST AVENUE, STATEN ISLAND, NY, USA",STATEN ISLAND,STATEN ISLAND,40.630894,-74.101013
RIDGEWOOD RESERVOIR,,,,RIDGEWOOD,QUEENS,40.68873651,-73.88685234
"GENAO, GLORIA & VASQUEZ, ROBERTO",850,EAST 181 STREET,850 EAST 181 STREET,BRONX,BRONX,40.84631005,-73.88323128
310 LEX PARKING MGMT LLC,310,LEXINGTON AVENUE,310 LEXINGTON AVENUE,NEW YORK,MANHATTAN,40.74874968,-73.97830179
BROOKLYN HOUSE OF DETENTION,275,ATLANTIC AVENUE,275 ATLANTIC AVENUE,BROOKLYN,BROOKLYN,40.689176,-73.989597
ARVERNE,312,BEACH 54 STREET,312 BEACH 54 STREET,ARVERNE,QUEENS,40.59314455,-73.78403978
GREGORY'S GARDEN,444,WARWICK STREET,444 WARWICK STREET,BROOKLYN,BROOKLYN,40.67266098,-73.88593561
NINA DUNN HOUSING DEV FUND,1670,LONGFELLOW AVENUE,1670 LONGFELLOW AVENUE,BRONX,BRONX,40.83487441,-73.88474577
QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,162-02,HILLSIDE AVENUE,162-02 HILLSIDE AVENUE,JAMAICA,QUEENS,40.70826583,-73.79958033
WELCOME PARKING LIMITED LIABILITY COMPANY,88-06,VAN WYCK EXPRESSWAY,88-06 VAN WYCK EXPRESSWAY,RICHMOND HILL,QUEENS,40.70182731,-73.81731463
STEP-SPECIAL TORAH EDUC PROG,,,2555 NOSTRAND AVE-4TH FL,BROOKLYN,BROOKLYN,40.62241813,-73.94582959
INWOOD HOUSES/BOYS TO MEN,369,EAST 148 STREET,369 EAST 148 STREET,BRONX,BRONX,40.81589116,-73.91911418
FLUSHING WORKFORCE1 CAREER CENTER,41-17,MAIN STREET,41-17 MAIN STREET,FLUSHING,QUEENS,40.75778233,-73.82887651
WILLIE MAE ROCK CAMP FOR GIRLS,495,FLATBUSH AVENUE,495 FLATBUSH AVENUE,BROOKLYN,BROOKLYN,40.66250485,-73.96135456
P.S. 051 ELIAS HOWE,525,WEST 44 STREET,525 WEST 44 STREET,NEW YORK,MANHATTAN,40.76160099,-73.99557568
"ARTISTS FORUM, INC.",204,WEST 118 STREET,204 WEST 118 STREET,NEW YORK,MANHATTAN,40.80456162,-73.95219805
B'WAY/CORNELIA SUBSTATION,1484,BROADWAY,1484 BROADWAY,BROOKLYN,BROOKLYN,40.687103,-73.918355
KINGS COUNTY CRIMINAL COURT,120,SCHERMERHORN STREET,120 SCHERMERHORN STREET,BROOKLYN,BROOKLYN,40.689692,-73.988948
TRANSPORTATION FACILITY,14540,147 AVENUE,14540 147 AVENUE,JAMAICA,QUEENS,40.660358,-73.773054
160 EAST 84TH STREET ASSOCIATES LLC,160,EAST 84 STREET,160 EAST 84 STREET,NEW YORK,MANHATTAN,40.77747485,-73.9554923
U.S. GENERAL POST OFFICE,,,,NEW YORK,MANHATTAN,40.75152861,-73.99583796
BROOKLYN ARTS EXCHANGE,421,FIFTH AVENUE,421 FIFTH AVENUE,BROOKLYN,BROOKLYN,40.66976942,-73.98543282
"EVA DEAN DANCE COMPANY, INC.",725,UNION STREET,725 UNION STREET,BROOKLYN,BROOKLYN,40.67675995,-73.9807117
JONAS BRONCK ACADEMY,400,EAST FORDHAM ROAD,400 EAST FORDHAM ROAD,BRONX,BRONX,40.8610317,-73.89150873
WESTCHESTER AVENUE IRT YARD,1311,WATERS PLACE,1311 WATERS PLACE,BRONX,BRONX,40.843284,-73.83968
FLEET SERVICES BROOKLYN,25,14 STREET,25 14 STREET,BROOKLYN,BROOKLYN,40.67028148,-73.99627842
TRANSIT FACILITY,3724,9 AVENUE,3724 9 AVENUE,BROOKLYN,BROOKLYN,40.647313,-73.99547
EMPIRE II PARKING GARAGE INC,780,SAINT ANNS AVENUE,780 SAINT ANNS AVENUE,BRONX,BRONX,40.82026382,-73.9099872
PRIMA PARKING LLC,330,EAST 61 STREET,330 EAST 61 STREET,NEW YORK,MANHATTAN,40.76087973,-73.96219521
"EDISON NY PARKING, LLC",75,SCHERMERHORN STREET,75 SCHERMERHORN STREET,BROOKLYN,BROOKLYN,40.6908916,-73.99037914
MONTEFIORE MEDICAL CENTER - MONTEFIORE WESTCHESTER SQUARE,2475,ST RAYMOND AVENUE,2475 ST RAYMOND AVENUE,BRONX,BRONX,40.84067818,-73.84840165
WASTE CONNECTIONS OF NY. INC. - CANAL PLACE,246,CANAL PLACE,246 CANAL PLACE,BRONX,BRONX,40.81175139,-73.92930304
HIGH SCHOOL FOR CONTEMPORARY ARTS,800,EAST GUN HILL ROAD,800 EAST GUN HILL ROAD,BRONX,BRONX,40.87518475,-73.86163461
WEST STREET BUILDING,,,,NEW YORK,MANHATTAN,40.71000059,-74.01425743
"AMLOTUS, LLC",37-20,PRINCE STREET,37-20 PRINCE STREET,FLUSHING,QUEENS,40.76017122,-73.83302264
"KIDS CREATIVE 404, INC.",2014,5 AVENUE,2014 5 AVENUE,NEW YORK,MANHATTAN,40.80626312,-73.94270987
"NEW YORK RENAL ASSOCIATES, INC",3468,PARK AVENUE,3468 PARK AVENUE,BRONX,BRONX,40.83064111,-73.90826222
LIBERTY SCRAP METAL INC,,,95-49 TUCKERTON STREET,JAMAICA,QUEENS,,
BRONX DISTRICT 9 10 11 SITE,530,ZEREGA AVENUE,530 ZEREGA AVENUE,BRONX,BRONX,40.81873,-73.842016
ACHIEVEMENT UNLOCKED,,,408 JAY ST-2ND FL,BROOKLYN,BROOKLYN,40.69178538,-73.98748272
NEIGHBORHOOD CHARTER-HARLEM 2,421,WEST 145 STREET,421 WEST 145 STREET,NEW YORK,MANHATTAN,40.82473622,-73.94566307
"CROMWELL COLLISION & TOWING, INC.",1297,INWOOD AVENUE,1297 INWOOD AVENUE,BRONX,BRONX,40.83835727,-73.92086138
19 INDIA FEE OWNER LLC,19,INDIA STREET,19 INDIA STREET,BROOKLYN,BROOKLYN,40.73216619,-73.96004993
NYCHA-INGERSOLL,16,FLEET WALK,16 FLEET WALK,BROOKLYN,BROOKLYN,40.69534624,-73.98143383
P.S. 197 THE OCEAN SCHOOL,825,HICKSVILLE ROAD,825 HICKSVILLE ROAD,FAR ROCKAWAY,QUEENS,40.59985275,-73.7441087
MELROSE LIBRARY,910,MORRIS AVENUE,910 MORRIS AVENUE,BRONX,BRONX,40.82658624,-73.91758012
ABM INDUSTRY GROUPS LLC,475,PARK AVENUE SOUTH,475 PARK AVENUE SOUTH,NEW YORK,MANHATTAN,40.74536497,-73.98203333
SHARPS COMPLIANCE,893,SHEPHERD AVENUE,893 SHEPHERD AVENUE,BROOKLYN,BROOKLYN,40.66291533,-73.87501412
J.H.S. 234 ARTHUR W. CUNNINGHAM,1875,EAST 17 STREET,1875 EAST 17 STREET,BROOKLYN,BROOKLYN,40.60454868,-73.95515588
"NY COUNTY CLERK'S OFFICE, HIST RECS",60,CENTER STREET,60 CENTER STREET,NEW YORK,MANHATTAN,40.71428955,-74.00155711
"MILLENNIUM FILM WORKSHOP, INC.",66,EAST 4 STREET,66 EAST 4 STREET,NEW YORK,MANHATTAN,40.72627625,-73.99059828
II IN LOT PARKING CORP,2028,CRESTON AVENUE,2028 CRESTON AVENUE,BRONX,BRONX,40.85221904,-73.90494966
P.S. 146 EDWARD COLLINS,968,CAULDWELL AVENUE,968 CAULDWELL AVENUE,BRONX,BRONX,40.82494123,-73.90576471
101 WEST 12TH STREET PARKING CORP.,101,WEST 12 STREET,101 WEST 12 STREET,NEW YORK,MANHATTAN,40.7364628,-73.99794402
OUTDOOR PARKING FOR 75 PRECINCT PERSONNEL,501,ESSEX STREET,501 ESSEX STREET,BROOKLYN,BROOKLYN,40.671617,-73.880883
RESTORE VILLAGE HOUSING CORP.,109,MARCUS GARVEY BOULEVARD,109 MARCUS GARVEY BOULEVARD,BROOKLYN,BROOKLYN,40.69524839,-73.94004795
THE LIVING ROOM TEXTILE DROP-OFF SITE,,,"800 BARRETTO STREET, BRONX, NY, USA",BRONX,BRONX,40.816834,-73.889597
P.S. 015 JACKIE ROBINSON,121-15,LUCAS STREET,121-15 LUCAS STREET,SPRINGFIELD GARDENS,QUEENS,40.68602528,-73.75692861
REAP AND KEEP EDUCATIONAL SVS.,119-04,MERRICK BOULEVARD,119-04 MERRICK BOULEVARD,JAMAICA,QUEENS,40.68551606,-73.77318147
CONDO UNIT DESIGNATION OFF2,335,ADAMS STREET,335 ADAMS STREET,BROOKLYN,BROOKLYN,40.693812,-73.987992
ST. MARK'S HISTORIC LANDMARK FUND,,,232 EAST 11TH STREET,NEW YORK,MANHATTAN,,
RAIL LINE,,MORNINGSTAR ROAD,MORNINGSTAR ROAD,STATEN ISLAND,STATEN ISLAND,40.635395,-74.145073
MIDTOWN COMMUNITY COURT,314-16,WEST 54 STREET,314-16 WEST 54 STREET,NEW YORK,MANHATTAN,40.764879,-73.985455
LATIN AMERICAN THEATRE ENSEMBLE INC.,350,WEST 51 STREET,350 WEST 51 STREET,NEW YORK,MANHATTAN,40.76349394,-73.98760024
ALLEN CHRISTIAN SCHOOL,114-32,MERRICK BOULEVARD,114-32 MERRICK BOULEVARD,JAMAICA,QUEENS,40.6907067,-73.77887738
"CITYVIEW PLAZA, LLC",,,3207 37TH AVE,ASTORIA,QUEENS,40.75447232,-73.93014725
COMBINED MAINTENANCE/STORAGE FACILITY,,LANDING ROAD,LANDING ROAD,BRONX,BRONX,40.862944,-73.913179
PLAYGROUND 286,2525,HARING STREET,2525 HARING STREET,BROOKLYN,BROOKLYN,40.59128294,-73.93876379
THEATER ET AL,5-49,49 AVENUE,5-49 49 AVENUE,LONG ISLAND CITY,QUEENS,40.74373065,-73.9543245
GEORGE WINGATE EDUCATIONAL CAMPUS,600,KINGSTON AVENUE,600 KINGSTON AVENUE,BROOKLYN,BROOKLYN,40.65899,-73.94327293
COLLEGE POINT DEPOT,,,,FLUSHING,QUEENS,40.773597,-73.841086
P.S. 028 MOUNT HOPE,1861,ANTHONY AVENUE,1861 ANTHONY AVENUE,BRONX,BRONX,40.84831865,-73.90367313
P.S. 130 ABRAM STEVENS HEWITT,750,PROSPECT AVENUE,750 PROSPECT AVENUE,BRONX,BRONX,40.8177213,-73.90188019
"QUEENS DIALYSIS AT THE PAVILION, LLC",36-17,PARSONS BOULEVARD,36-17 PARSONS BOULEVARD,FLUSHING,QUEENS,40.7641367,-73.82279059
CHILDREN'S MUSEUM OF THE ARTS,103,CHARLTON STREET,103 CHARLTON STREET,NEW YORK,MANHATTAN,40.72774381,-74.00786582
"TOWN HALL FOUNDATION, INC.",123,WEST 43 STREET,123 WEST 43 STREET,NEW YORK,MANHATTAN,40.75607528,-73.98439557
SECTION STATION 91/92,468,WEST 126 STREET,468 WEST 126 STREET,NEW YORK,MANHATTAN,40.813634,-73.955547
DANIEL PATRICK MOYNIHAN UNITED STATES COURTHOUSE,500,PEARL STREET,500 PEARL STREET,NEW YORK,MANHATTAN,40.71370278,-74.00076058
W. 26TH ST OPERATING LLC,279,10 AVENUE,279 10 AVENUE,NEW YORK,MANHATTAN,40.74988143,-74.00300419
YESHIVA OF BROOKLYN,1470,OCEAN PARKWAY,1470 OCEAN PARKWAY,BROOKLYN,BROOKLYN,40.61283175,-73.96900608
MOTT HAVEN ACADEMY CHARTER SCHOOL,170,BROWN PLACE,170 BROWN PLACE,BRONX,BRONX,40.80631192,-73.92088498
PATRICIA A. BRACKLEY PARK,,,,ROCKAWAY PARK,QUEENS,40.58139737,-73.84577716
ICD INTERNATIONAL CENTER FOR THE DIS,340,EAST 24 STREET,340 EAST 24 STREET,NEW YORK,MANHATTAN,40.73764819,-73.97881681
NE BATHGATE AVENUE & EAST 189TH STREET FOOD DROP-OFF SITE,,,,BRONX,BRONX,40.85865876,-73.88819441
POMONOK,67-07,KISSENA BOULEVARD,67-07 KISSENA BOULEVARD,FLUSHING,QUEENS,40.73499661,-73.81420829
BRONX MIRACLE GOSPEL MINISTRY,821,BURKE AVENUE,821 BURKE AVENUE,BRONX,BRONX,40.87160876,-73.86286325
2276 WESTCHESTER AVE TEXTILE DROP-OFF SITE,,,"2276 WESTCHESTER AVENUE, BRONX, NY, USA",BRONX,BRONX,40.83467,-73.848837
PORTS AMERICA INC,711,12 AVENUE,711 12 AVENUE,NEW YORK,MANHATTAN,40.76841771,-73.99676056
GIRLS PREP CHARTER SCHOOL-BRONX,,,681 KELLY ST-RM 205,BRONX,BRONX,40.81567558,-73.90177016
THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,122,AMSTERDAM AVENUE,122 AMSTERDAM AVENUE,NEW YORK,MANHATTAN,40.77489996,-73.98563039
GOUVERNOR DEWITT CLINTON (1),1485,PARK AVENUE,1485 PARK AVENUE,NEW YORK,MANHATTAN,40.79435447,-73.94620719
NYPD 46TH PRECINCT,2120,RYER AVENUE,2120 RYER AVENUE,BRONX,BRONX,40.853947,-73.900116
EMPIRE BUILDING,,,,NEW YORK,MANHATTAN,40.70750033,-74.01251156
COMM BD 2,4322,50 STREET,4322 50 STREET,WOODSIDE,QUEENS,40.743796,-73.915059
UNIVERSITY 10 PARKING LLC,63,EAST 9 STREET,63 EAST 9 STREET,NEW YORK,MANHATTAN,40.7315827,-73.9920846
RIVERSIDE BLVD GARAGE LLC,220,RIVERSIDE BOULEVARD,220 RIVERSIDE BOULEVARD,NEW YORK,MANHATTAN,40.77970655,-73.98739788
PROPARK AMERICA NEW YORK LLC,626,SHEEPSHEAD BAY ROAD,626 SHEEPSHEAD BAY ROAD,BROOKLYN,BROOKLYN,40.57868249,-73.97536592
NEW YORK EDGE,,,58-12 QUEENS BLVD,WOODSIDE,QUEENS,,
FINEST TOWING & AUTO BODY INC.,11,BRICK COURT,11 BRICK COURT,STATEN ISLAND,STATEN ISLAND,40.53846939,-74.24120218
FIVE J'S AUTOMOTIVE LTD.,,,,,,,
1804 RALPH AVE TEXTILE DROP-OFF SITE,,,"1804 RALPH AVENUE, BROOKLYN, NY, USA",BROOKLYN,BROOKLYN,40.633311,-73.919271
NYPD HARBOR PATROL,14-14,217 STREET,14-14 217 STREET,COLLEGE POINT,QUEENS,40.785264,-73.858962
ENTERPRISE 60TH STREET LLC,10,WEST END AVENUE,10 WEST END AVENUE,NEW YORK,MANHATTAN,40.77181065,-73.98996204
